HEADER
FILENAME:      /home/user/Git/CalculiX-Examples/Thermal/Thermografie/plots.fbl
DATE:          12.4.2017
DATASET-NAME:  NDTEMP  
DATASET-ENTITY:T       
--------------------------------------------------------

TIME INCREMENT / NODE
              ;           495 ;           510 ;          3711 ;          3741 
 1.140000e+00 ;  5.587180e-01 ;  6.867530e-01 ;  9.952610e-01 ;  1.122430e+00 
 1.160000e+00 ;  5.626260e-01 ;  6.889330e-01 ;  9.938790e-01 ;  1.118930e+00 
 1.180000e+00 ;  5.664420e-01 ;  6.910550e-01 ;  9.925210e-01 ;  1.115500e+00 
 1.200000e+00 ;  5.701700e-01 ;  6.931230e-01 ;  9.911860e-01 ;  1.112160e+00 
 1.220000e+00 ;  5.738140e-01 ;  6.951390e-01 ;  9.898730e-01 ;  1.108890e+00 
 1.240000e+00 ;  5.773760e-01 ;  6.971060e-01 ;  9.885820e-01 ;  1.105690e+00 
 1.260000e+00 ;  5.808600e-01 ;  6.990250e-01 ;  9.873110e-01 ;  1.102560e+00 
 1.280000e+00 ;  5.842700e-01 ;  7.008990e-01 ;  9.860590e-01 ;  1.099500e+00 
 1.300000e+00 ;  5.876060e-01 ;  7.027300e-01 ;  9.848270e-01 ;  1.096500e+00 
 1.320000e+00 ;  5.908730e-01 ;  7.045190e-01 ;  9.836130e-01 ;  1.093560e+00 
 1.340000e+00 ;  5.940730e-01 ;  7.062690e-01 ;  9.824170e-01 ;  1.090680e+00 
 1.360000e+00 ;  5.972070e-01 ;  7.079810e-01 ;  9.812390e-01 ;  1.087860e+00 
 1.380000e+00 ;  6.002780e-01 ;  7.096560e-01 ;  9.800780e-01 ;  1.085100e+00 
 1.400000e+00 ;  6.032880e-01 ;  7.112960e-01 ;  9.789340e-01 ;  1.082390e+00 
 1.420000e+00 ;  6.062390e-01 ;  7.129030e-01 ;  9.778060e-01 ;  1.079740e+00 
 1.440000e+00 ;  6.091330e-01 ;  7.144760e-01 ;  9.766930e-01 ;  1.077130e+00 
 1.460000e+00 ;  6.119720e-01 ;  7.160180e-01 ;  9.755970e-01 ;  1.074580e+00 
 1.480000e+00 ;  6.147560e-01 ;  7.175300e-01 ;  9.745150e-01 ;  1.072070e+00 
 1.500000e+00 ;  6.174890e-01 ;  7.190130e-01 ;  9.734490e-01 ;  1.069610e+00 
 1.520000e+00 ;  6.201700e-01 ;  7.204670e-01 ;  9.723970e-01 ;  1.067200e+00 
 1.540000e+00 ;  6.228020e-01 ;  7.218940e-01 ;  9.713590e-01 ;  1.064830e+00 
 1.560000e+00 ;  6.253860e-01 ;  7.232950e-01 ;  9.703360e-01 ;  1.062500e+00 
 1.580000e+00 ;  6.279230e-01 ;  7.246700e-01 ;  9.693260e-01 ;  1.060210e+00 
 1.600000e+00 ;  6.304150e-01 ;  7.260200e-01 ;  9.683300e-01 ;  1.057970e+00 
 1.620000e+00 ;  6.328620e-01 ;  7.273450e-01 ;  9.673480e-01 ;  1.055770e+00 
 1.640000e+00 ;  6.352660e-01 ;  7.286480e-01 ;  9.663780e-01 ;  1.053600e+00 
 1.660000e+00 ;  6.376280e-01 ;  7.299270e-01 ;  9.654220e-01 ;  1.051470e+00 
 1.680000e+00 ;  6.399490e-01 ;  7.311850e-01 ;  9.644780e-01 ;  1.049390e+00 
 1.700000e+00 ;  6.422300e-01 ;  7.324210e-01 ;  9.635460e-01 ;  1.047330e+00 
 1.720000e+00 ;  6.444720e-01 ;  7.336360e-01 ;  9.626270e-01 ;  1.045310e+00 
 1.740000e+00 ;  6.466760e-01 ;  7.348310e-01 ;  9.617200e-01 ;  1.043330e+00 
 1.760000e+00 ;  6.488420e-01 ;  7.360060e-01 ;  9.608250e-01 ;  1.041380e+00 
 1.780000e+00 ;  6.509720e-01 ;  7.371620e-01 ;  9.599410e-01 ;  1.039470e+00 
 1.800000e+00 ;  6.530660e-01 ;  7.382990e-01 ;  9.590690e-01 ;  1.037580e+00 
 1.820000e+00 ;  6.551260e-01 ;  7.394180e-01 ;  9.582090e-01 ;  1.035730e+00 
 1.840000e+00 ;  6.571510e-01 ;  7.405190e-01 ;  9.573600e-01 ;  1.033910e+00 
 1.860000e+00 ;  6.591440e-01 ;  7.416020e-01 ;  9.565210e-01 ;  1.032120e+00 
 1.880000e+00 ;  6.611030e-01 ;  7.426690e-01 ;  9.556940e-01 ;  1.030360e+00 
 1.900000e+00 ;  6.630310e-01 ;  7.437180e-01 ;  9.548770e-01 ;  1.028630e+00 
 1.920000e+00 ;  6.649280e-01 ;  7.447520e-01 ;  9.540710e-01 ;  1.026920e+00 
 1.940000e+00 ;  6.667950e-01 ;  7.457700e-01 ;  9.532760e-01 ;  1.025250e+00 
 1.960000e+00 ;  6.686310e-01 ;  7.467730e-01 ;  9.524900e-01 ;  1.023600e+00 
 1.980000e+00 ;  6.704380e-01 ;  7.477600e-01 ;  9.517150e-01 ;  1.021980e+00 
 2.000000e+00 ;  6.722170e-01 ;  7.487320e-01 ;  9.509500e-01 ;  1.020380e+00 
